"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"162","All Fire","11262_16_23",0.0046356,"Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush",1038,54860,0.2,254.309016
"163","All Fire","11262_16_23",0.0046356,"Inter-Mountain Basins Montane Sagebrush Steppe - Low Sagebrush",996,40504,0.1,187.7603424
"164","All Fire","11270_10_12_13_17_18",0.0045028,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1104,153,0,0.6889284
"165","All Fire","11270_15",0.0084802,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1209,9565,0,81.113113
"166","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1039,170279,0.5,1606.4801976
"167","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1139,50099,0.1,472.6540056
"168","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",997,12110,0,114.250584
"169","All Fire","11270_28",0.0084374,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",1171,137402,0.4,1159.3156348
"170","All Fire","11350_15_28",0.0400448,"Inter-Mountain Basins Semi-Desert Grassland",1172,3310,0,132.548288
"171","All Fire","11350_15_28",0.0400448,"Inter-Mountain Basins Semi-Desert Grassland",1210,1722,0,68.9571456
"172","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",1040,727850,2.2,29042.23399
"173","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",1140,251985,0.7,10054.554279
"174","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",998,28359,0.1,1131.5638026
"175","All Fire","11350_22",0.0401812,"Inter-Mountain Basins Semi-Desert Grassland",900,18,0,0.7232616
"176","All Fire","11350_7_8_9_10_12_17_18",0.0124552,"Inter-Mountain Basins Semi-Desert Grassland",1105,0,0,0
