"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"28",1140,1133054,11350,24,"11350_16_23_24","Inter-Mountain Basins Semi-Desert Grassland","Grassland",25,NA,NA,25,100,NA,NA,"II-C",185,174,211,0.725490196,0.682352941,0.82745098,251985,0.7
"29",11,959857,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,213467,0.6
"30",971,867918,10510,16,"10510_15_16_17_22_23_24_25","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",90,77,14,11,12,14,74,"I-B",190,210,255,0.745098039,0.823529412,1,193020,0.6
"31",1009,744698,10110,23,"10110_16_23_24","Rocky Mountain Aspen Forest and Woodland","Hardwood",59,50,NA,27,46,54,NA,"I-C",255,255,115,1,1,0.450980392,165617,0.5
"32",1039,765661,11270,23,"11270_16_23_24_25","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",105,NA,NA,105,100,NA,NA,"IV-B",194,158,215,0.760784314,0.619607843,0.843137255,170279,0.5
"33",1142,769774,11530,24,"11530_16_23_24_25_27","Inter-Mountain Basins Greasewood Flat","Shrubland",208,NA,NA,208,100,NA,NA,"V-A",225,225,225,0.882352941,0.882352941,0.882352941,171194,0.5
"34",990,592470,11071,16,"11071_16","Rocky Mountain Gambel Oak-Mixed Montane Shrubland -Continuous","Shrubland",57,162,NA,42,74,26,NA,"III-A",115,255,223,0.450980392,1,0.874509804,131762,0.4
"35",1004,532621,11590,16,"11590_16_23_24_26","Rocky Mountain Montane Riparian Systems","Riparian",270,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,118452,0.4
"36",1028,672431,10860,23,"10860_13_16_17_18_21_23","Rocky Mountain Lower Montane-Foothill Shrubland","Shrubland",102,28,NA,22,21,79,NA,"I-C",137,68,101,0.537254902,0.266666667,0.396078431,149545,0.4
"37",1036,639453,11250,23,"11250_6_12_13_15_16_17_18_23_24_25_28","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",117,NA,NA,117,100,NA,NA,"IV-B",255,115,223,1,0.450980392,0.874509804,142211,0.4
"38",1129,622010,10930,24,"10930_13_15_16_23_24_28","Southern Colorado Plateau Sand Shrubland","Shrubland",220,NA,NA,220,100,NA,NA,"V-A",134,219,24,0.525490196,0.858823529,0.094117647,138332,0.4
"39",1171,617830,11270,28,"11270_28","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",194,158,215,0.760784314,0.619607843,0.843137255,137402,0.4
"40",1178,609742,11590,28,"11590_28","Rocky Mountain Montane Riparian Systems","Riparian",270,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,135603,0.4
"41",2705,541616,10804,15,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",255,190,232,1,0.745098039,0.909803922,120452,0.4
"42",398,228990,10870,24,"10870_4_6_12_13_14_15_17_24_25","Sonora-Mojave Creosotebush-White Bursage Desert Scrub","Shrubland",329,NA,NA,329,100,NA,NA,"V-A",52,154,184,0.203921569,0.603921569,0.721568627,50926,0.2
"43",965,378897,10110,16,"10110_16_23_24","Rocky Mountain Aspen Forest and Woodland","Hardwood",59,50,NA,27,46,54,NA,"I-C",255,255,115,1,1,0.450980392,84265,0.2
