"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"64",220,128822,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,28649,0.1
"65",221,99933,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,22225,0.1
"66",222,96969,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,21565,0.1
"67",223,60713,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,13502,0
"68",224,50649,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,11264,0
"69",225,20147,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,4481,0
"70",226,12032,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,2676,0
"71",227,5368,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,1194,0
"72",228,5392,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,1199,0
"73",229,2682,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,596,0
"74",230,17487,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,3889,0
